feature,feature value,n_samples,precision,recall,fbeta
occupation,Craft-repair,795,0.5625,0.2057142857142857,0.301255230125523
occupation,?,356,0.5789473684210527,0.3142857142857143,0.40740740740740744
occupation,Transport-moving,323,0.6190476190476191,0.23636363636363636,0.34210526315789475
occupation,Exec-managerial,836,0.9428571428571428,0.30275229357798167,0.45833333333333337
occupation,Prof-specialty,865,0.8287671232876712,0.3047858942065491,0.4456721915285451
occupation,Other-service,644,0.25,0.10714285714285714,0.15
occupation,Sales,726,0.7971014492753623,0.26570048309178745,0.39855072463768115
occupation,Protective-serv,128,0.7142857142857143,0.12195121951219512,0.20833333333333334
occupation,Priv-house-serv,37,1.0,1.0,1.0
occupation,Tech-support,170,0.8888888888888888,0.2711864406779661,0.4155844155844156
occupation,Handlers-cleaners,257,0.4,0.23529411764705882,0.29629629629629634
occupation,Armed-Forces,1,1.0,1.0,1.0
feature,feature value,n_samples,precision,recall,fbeta
relationship,Husband,2672,0.8515625,0.26222935044105855,0.4009809932556714
relationship,Not-in-family,1640,0.56,0.34146341463414637,0.42424242424242425
relationship,Unmarried,732,0.5,0.24,0.32432432432432434
relationship,Own-child,967,0.27586206896551724,0.42105263157894735,0.3333333333333333
relationship,Other-relative,190,0.0,0.0,1.0
relationship,Wife,312,0.8775510204081632,0.2621951219512195,0.403755868544601
feature,feature value,n_samples,precision,recall,fbeta
race,Black,625,0.696969696969697,0.30666666666666664,0.4259259259259259
race,White,5561,0.7566037735849057,0.2691275167785235,0.39702970297029705
race,Asian-Pac-Islander,208,0.8181818181818182,0.2535211267605634,0.38709677419354843
race,Other,58,0.3333333333333333,0.25,0.28571428571428575
race,Amer-Indian-Eskimo,61,0.6,0.3,0.4
feature,feature value,n_samples,precision,recall,fbeta
sex,Male,4377,0.7849686847599165,0.26837972876516775,0.4
sex,Female,2136,0.6140350877192983,0.28112449799196787,0.3856749311294766
feature,feature value,n_samples,precision,recall,fbeta
native-country,United-States,5846,0.75139146567718,0.27072192513368987,0.398034398034398
native-country,Mexico,127,0.25,0.1111111111111111,0.15384615384615383
native-country,El-Salvador,22,1.0,0.0,0.0
native-country,Puerto-Rico,21,1.0,0.0,0.0
native-country,Columbia,11,0.0,1.0,0.0
native-country,Germany,31,1.0,0.3333333333333333,0.5
native-country,India,23,1.0,0.25,0.4
native-country,?,113,0.8888888888888888,0.25,0.3902439024390244
native-country,Canada,29,0.75,0.23076923076923078,0.3529411764705882
native-country,Japan,9,1.0,0.25,0.4
native-country,Taiwan,14,1.0,0.6,0.7499999999999999
native-country,Nicaragua,5,1.0,0.0,0.0
native-country,China,15,0.3333333333333333,0.2,0.25
native-country,Philippines,34,1.0,0.3125,0.47619047619047616
native-country,Guatemala,13,1.0,1.0,1.0
native-country,Ecuador,6,1.0,1.0,1.0
native-country,Iran,10,1.0,0.4,0.5714285714285715
native-country,Laos,10,1.0,0.0,0.0
native-country,Jamaica,15,1.0,0.0,0.0
native-country,Cuba,20,1.0,0.16666666666666666,0.2857142857142857
native-country,England,17,1.0,0.2,0.33333333333333337
native-country,Cambodia,4,0.0,0.0,1.0
native-country,Vietnam,9,1.0,1.0,1.0
native-country,Poland,7,1.0,0.5,0.6666666666666666
native-country,Dominican-Republic,14,1.0,0.0,0.0
native-country,Trinadad&Tobago,5,1.0,1.0,1.0
native-country,Italy,18,0.5,0.125,0.2
native-country,Haiti,12,1.0,0.0,0.0
native-country,Scotland,2,1.0,0.0,0.0
native-country,Thailand,5,1.0,0.0,0.0
native-country,South,14,1.0,0.25,0.4
native-country,Greece,4,0.6666666666666666,1.0,0.8
native-country,Outlying-US(Guam-USVI-etc),2,1.0,1.0,1.0
native-country,Hong,2,1.0,0.0,0.0
native-country,Hungary,4,1.0,1.0,1.0
native-country,Honduras,1,1.0,1.0,1.0
native-country,Yugoslavia,3,1.0,0.0,0.0
native-country,Portugal,8,1.0,1.0,1.0
native-country,Holand-Netherlands,1,0.0,1.0,0.0
native-country,Peru,3,1.0,0.0,0.0
native-country,France,3,1.0,0.5,0.6666666666666666
native-country,Ireland,1,0.0,1.0,0.0
