feature,feature value,n_samples,precision,recall,fbeta
native-country,?,125,0.8518518518518519,0.7419354838709677,0.7931034482758621
native-country,Columbia,6,1.0,1.0,1.0
native-country,Poland,14,0.6666666666666666,1.0,0.8
native-country,Cambodia,3,1.0,0.0,0.0
native-country,Germany,32,0.7857142857142857,0.8461538461538461,0.8148148148148148
native-country,Philippines,35,1.0,0.75,0.8571428571428571
native-country,Canada,22,0.8888888888888888,1.0,0.9411764705882353
native-country,Ecuador,5,1.0,0.5,0.6666666666666666
native-country,Italy,14,0.75,0.75,0.75
native-country,Cuba,19,1.0,0.8,0.888888888888889
native-country,Iran,12,0.6,0.6,0.6
native-country,Jamaica,13,0.0,1.0,0.0
native-country,Haiti,6,1.0,1.0,1.0
native-country,South,13,0.3333333333333333,0.5,0.4
native-country,Taiwan,11,1.0,1.0,1.0
native-country,Dominican-Republic,8,1.0,1.0,1.0
native-country,Ireland,5,1.0,1.0,1.0
native-country,Japan,11,1.0,0.75,0.8571428571428571
native-country,Scotland,3,1.0,1.0,1.0
native-country,India,21,0.7777777777777778,0.875,0.823529411764706
native-country,Trinadad&Tobago,3,1.0,1.0,1.0
native-country,Hungary,3,1.0,0.5,0.6666666666666666
native-country,England,14,0.8,1.0,0.888888888888889
native-country,Laos,4,1.0,0.0,0.0
native-country,Hong,8,0.5,1.0,0.6666666666666666
native-country,Greece,7,1.0,1.0,1.0
native-country,Portugal,6,1.0,1.0,1.0
native-country,Guatemala,13,1.0,1.0,1.0
native-country,China,18,0.8888888888888888,1.0,0.9411764705882353
native-country,France,5,1.0,1.0,1.0
native-country,Nicaragua,7,1.0,1.0,1.0
native-country,Vietnam,5,1.0,1.0,1.0
native-country,Thailand,5,1.0,1.0,1.0
native-country,Peru,5,1.0,1.0,1.0
native-country,Honduras,4,1.0,1.0,1.0
native-country,Yugoslavia,2,1.0,1.0,1.0
